Name,Address,Phone,Rating,Reviews,Website,Has Real Website,Email,Comments,Google Maps Link
Momo Burger," MRCX+RWJ, Mahelma", 0770 07 33 13,N/A,"4,6(26",N/A,No,,,
Restaurant les frères Benzerga," Lpp Q10, Cité 11.Décembre, Mahelma", 0666 28 17 55,N/A,"4,6(26",N/A,No,,,
New york food," Unamed road, Zéralda 16063", 0563 97 73 22,N/A,"4,6(26",https://www.facebook.com/share/1GEyHbVLiq/,No,,,
سيدي عبد الله معالمة الجزائر," MVC3+JFG 5000مسكن لازون cعمارة 122, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
Gang's pizza," MRHV+6J7, Mahelma", 0552 69 98 23,N/A,"4,6(26",N/A,No,,,
P&M food, Mahelma 16201, 0552 02 27 28,N/A,"4,6(26",N/A,No,,,
Crêpes et delice," MVR3+74M, Mahelma", 0796 84 41 31,N/A,"4,6(26",N/A,No,,,
Boost Bite," MQHX+F92، Residence les Oliviers, Douaouda", 0562 97 70 64,N/A,"4,6(26",N/A,No,,,
Restaurant kamatchino," MVJG+GJH, N63, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
محل أيهم خباب," MVJ4+62X, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
Sohaib food," MRHP+H6G, Zéralda", 0670 65 64 01,N/A,"4,6(26",N/A,No,,,
Sunflower restaurant," MVGP+7G2, Mahelma", 0666 27 31 66,N/A,"4,6(26",N/A,No,,,
9ahwa," MVR3+CWV, Rue Mohamed Khider, Zéralda",N/A,N/A,"4,6(26",N/A,No,,,
Restaurant-Pizzeria La Fourchette," C, Coopérative Ennasr Bt 12 N° 274, Birkhadem", 0560 95 97 60,N/A,"4,6(26",N/A,No,,,
خيمة اولاد سيدي ابراعيم," MVHG+VP7 kms, N63, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
New Town Restaurant," MVQ4+W97, Rue Mohamed Khider, Zéralda", 0541 94 98 94,N/A,"4,6(26",https://www.instagram.com/new.towndz/,No,,,
Fast l'homa," MRGX+GC5, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
RESTAURANT BENAMARA," MQJX+6RQ Cop Elhana, Douaouda 42000", 0551 47 80 22,N/A,"4,6(26",https://web.facebook.com/Restaurant-Benamara-100698642489845,No,,,
محفوظ لي يبيع المحاجب," JQ73+M84, Chaïba",N/A,N/A,"4,6(26",N/A,No,,,
Family Restaurant," MVQG+94C, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
RESTAURANT BENIDORM," N11, Zeralda", 0776 05 89 41,N/A,"4,6(26",N/A,No,,,
Restaurant & Cafe Arous," MRF2+RP, Douaouda",N/A,N/A,"4,6(26",N/A,No,,,
Tahtoh Food," MXGH+7WW, Khraicia", 0697 66 47 50,N/A,"4,6(26",N/A,No,,,
Restaurant les auress," PR7V+FXX, Zéralda",N/A,N/A,"4,6(26",N/A,No,,,
Burger Aghiles," MVP6+R8P, Mahelma",N/A,N/A,"4,6(26",N/A,No,,,
Restaurant SOFRA KEBABمطعم سفرة كباب," local 01 bâtiment, 04 1, Mahelma", 0552 59 81 25,N/A,"4,6(26",N/A,No,,,
Le Traîteur NECiB café restaurant," MVHX+HH7, Cyberparc, Rahmania",N/A,N/A,"4,6(26",N/A,No,,,
Pizzeria LA CASA-بيتزيريا لاكازا," MVR2+C9X, Zéralda", 0558 26 89 36,N/A,"4,6(26",N/A,No,,,
O-zed Food," Sidi Abdella, Mahelma zone C, Bouelvard Houcine, ait ahemad 66524", 0559 41 80 32,N/A,"4,6(26",N/A,No,,,
RUSTIC PIZZA," MVQ3+PHF, Mahelma", 0775 22 19 96,N/A,"4,6(26",https://www.instagram.com/rustic.pizza.dz?igsh=MW93MzVjc2V2dzJ2YQ==,No,,,
مطعم القدس العتيقة," باب خلفي، الاقامة الجامعية، 3, Mahelma", 0770 69 87 17,N/A,"4,6(26",N/A,No,,,
Padi D'NYC," 135 W 50th St, New York, NY 10020, États-Unis",N/A,N/A,"4,4(139",N/A,No,N/A,"['Vraiment bon ! Super frais, et super rapport qualité prix', ""J'y suis allé deux fois et ça valait vraiment le coup. J'ai testé le menu Rendang de bœuf et le menu Ayam Gulai. …"", ""Padi chez Urban Hawkers  Chérie, ce n'est pas juste de la nourriture, c'est un rêve fiévreux d'Asie du …""]","https://www.google.com/maps/place/Padi+D'NYC/@40.762969,-74.0563178,13z/data=!3m1!5s0x89c258555500dd83:0xbe0a01158af98882!4m11!1m3!2m2!1sRestaurant+in+Manhattan,+New+york,+NY,+USA!6e5!3m6!1s0x89c259b573cc8871:0xb6d59a0903f88e5d!8m2!3d40.7608856!4d-73.9825548!15sCipSZXN0YXVyYW50IGluIE1hbmhhdHRhbiwgTmV3IHlvcmssIE5ZLCBVU0FaKSIncmVzdGF1cmFudCBpbiBtYW5oYXR0YW4gbmV3IHlvcmsgbnkgdXNhkgEMaGF3a2VyX3N0YWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJxYVhReWJEQm5SUkFC4AEA-gEECAAQNg!16s%2Fg%2F11tf4q75d5?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D"
